category,title,description,resource,region,statusWord,message,compliance
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,europe-west9,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,asia-south1,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,asia-south2,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,asia-southeast1,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,asia-southeast2,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,asia-east1,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,asia-east2,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,asia-northeast1,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,asia-northeast2,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,asia-northeast3,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,australia-southeast1,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,australia-southeast2,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
Dataflow,Dataflow Jobs Encryption,Ensure that Google Dataflow jobs are encrypted with desired encryption level.,N/A,me-west1,OK,No Dataflow jobs found,PCI: PCI requires proper encryption of cardholder data at rest. Encryption should be enabled for all jobs storing this type of data.
